eng,twi,count,source_files
accept,gye,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
accept,pene,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
acceptance,ogye,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
accompany,gya,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
accordance,mfataso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
accumulate,boa ano,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
accurate,pɛpɛɛpɛ,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
action,adeyɛ,1,06_hs_chemistry_twi; 13_ela_twi_parallel
admire,kamfo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
admonition,afotu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
adult,ɔpanyin,1,03_science-glossary; 16_Twi-census-Glossary_parallel
adulterate,fra mu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
adultery,ayefare,1,02_english-twi-dictionary; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
advantage,mfaso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
adventurer,obadueduefo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
adversity,amanehunu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
advice,afotu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
advise,tu fo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ago,dedadeda,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
agriculture,kuayɛ,1,09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel
aground,ase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
aim,botae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
air,mframa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
air pressure,mframa tumi,1,03_science-glossary; 06_hs_chemistry_twi
albino,ofiri,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
allot,kye,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
allow,pene,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
almighty,tumfo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
also,nso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
alter,sakra,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
altogether,korakora,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
alum,abereduru,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
always,dabā,1,02_english-twi-dictionary; 17_A Dictionary of the Asante and Fante Language_mono
amendment,nsakrae,1,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
amiss,bone,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
amuse,gye ani,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
anarchy,basabasayɛ,1,09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel
ancestor,nana,1,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
anchor,sɛkyɛ,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
and,na,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
anew,foforo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
angle,ehin,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
animal,aboa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
animosity,anibere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
annul,tue,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
another,foforo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
another,obi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
answer,gye so,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
anthem,ɔman nnwom,1,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
any,biara,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ape,akyeneboa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
apparel,atade,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
appear,fi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
appear,pue,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
appease,pata,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
apple,aduaba,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
appoint,paw,1,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
appointment,dibea,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
apprehend,kyere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
approach,pini,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
approbation,mpeneso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
approve,kamfo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
approve,pene,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
apt,fata,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
archer,agyantofoɔ,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
arm,basa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
army,asafo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
arrange,hyehyɛ,1,09_Twi-Dictionary_parallel; 13_ela_twi_parallel
arrange,siesie,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
arrest,kyere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
arrive,du,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
artful,onitefo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
article,ade,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
article,gyidi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ascend,foro,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ashore,mpoano,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ask,bisa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
asp,ahurutoa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
assail,tua,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
assent,pene,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
atom,atɔm,1,06_hs_chemistry_twi; 07_hs_living_environment_twi_parallel
avail,boa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
available,wɔ hɔ,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
avarice,anibere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
avoid,kwae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
avoid,kwati,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
awake,nyane,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
aware,nim,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
awe,osuro,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
back,akyiri,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
badge,agyirae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bag,kotoku,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
baggage,nneɛma,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bail,agyinam,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
banana,kwadu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
banish,pam,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
banish,tu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bathe,guare,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
battle,ɔko,1,09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
beak,anomaa ano,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
bear,so,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beast,aboa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beat,bo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beat,boro,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
become,fata,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bed,mpa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bee,odowa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
before,anim,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beget,wo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beginning,mfiase,1,02_english-twi-dictionary; 13_ela_twi_parallel
behavior,Suban,1,03_science-glossary; 07_hs_living_environment_twi_parallel
behind,akyi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
behind,akyire,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
believe,gye di,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bellows,afa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
belly,yam,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
below,ase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bemoan,gyam,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bench,agua,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bend,kyea,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beneath,ase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beneath,aseɛ,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
benefit,mfaso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
berry,aduaba,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
between,ntam,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
beyond,akyiri,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bill-hook,adare,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
birth,awo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bite,ka,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
black,tuntum,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blank,hunu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blast,hye,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blaze,fram,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bleach,hoa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bleed,fi mogya,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blemish,dɛm,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bless,hyira,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blind,onifuraefo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
block,dufua,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blood,mogya,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blot,popa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blouse,kaba,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blow,fita,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
blunt,kum ano,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
body,nipadua,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bolt,korokoro,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bone,dompe,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
booty,asade,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
border,ano,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bore,fiti,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
borer,fitii,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bosom,kokom,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bottle,toa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bottom,ase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brain,Adwene/amemene,1,07_hs_living_environment_twi_parallel; 08_hs_physics_twi_parallel
bread,bodobodo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
breed,wo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bride,ayeforo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bridle,nnareka,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brief,tiawa,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
brim,ano,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brine,nkyene nsu,1,06_hs_chemistry_twi; 09_Twi-Dictionary_parallel
brood,asefo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brood,mma,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brook,asuwa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
broom,oprae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brown,nnodoe,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bruise,bubu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bruise,pira,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bruise,posa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
brush,tui,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bubble,ahuru,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bull,nantwinini,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
burden,adesoa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
burglar,owifo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
burn,hye,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
burst,pae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
bush,wura,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
but,nanso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cable,ntampe,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
calabash,apakyi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
calabash,kora,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
calamity,mmusu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
call,frɛ,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
calm,komm,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
calumniate,sopa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
camel,yoma,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
can,tumi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cancer,kokoram,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
candour,nokware,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cannon,ɔprɛm,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
carrier,ɔsoafoɔ,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
carry,soa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
case,adaka,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cash,sika,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cashier,sikakorafo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
catarrh,opakum,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
catch,kyere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
catch,yi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
caterpillar,osa,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
cause,nea ɛde ba,1,05_elementary_social_studies_twi; 13_ela_twi_parallel
cell,Nkwammoa,1,06_hs_chemistry_twi; 07_hs_living_environment_twi_parallel
census,nnipa kenkan,1,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
centimeter,sɛntimita,1,06_hs_chemistry_twi; 07_hs_living_environment_twi_parallel
century,afeha,1,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
chain,nkɔnsɔnkɔnsɔn,1,06_hs_chemistry_twi; 09_Twi-Dictionary_parallel
challenge,mpoatwa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
chamber,pia,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
change,nsakrae,1,05_elementary_social_studies_twi; 12_hs_global_history_twi_parallel
change,sakra,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
change,sesa,1,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
chase,ahayo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cheat,sisi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
cheer,huro,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
chemical,Aduro,1,03_science-glossary; 07_hs_living_environment_twi_parallel
cherish,kura,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
chest,koko,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
child,abofra,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
childhood,mmofraase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
choice,apɛde,1,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
choke,dum,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
choke,kum,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
choose,paw,1,09_Twi-Dictionary_parallel; 13_ela_twi_parallel
choose,yi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
chop,pae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
chop,twa,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
clan,abusua,1,09_Twi-Dictionary_parallel; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
clasp,kyere,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
class,dibea,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
classification,nkyekyɛmu,1,07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
cleave,pae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
clever,onimdefo,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
