eng,twi,count,source_files
family,abusua,4,05_elementary_social_studies_twi; 06_hs_chemistry_twi; 09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel; 16_Twi-census-Glossary_parallel
government,aban,4,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel; 16_Twi-census-Glossary_parallel
power,tumi,4,02_english-twi-dictionary; 04_mathematics-glossary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
earth,asase,3,02_english-twi-dictionary; 03_science-glossary; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
fact,nokwasɛm,3,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel; 13_ela_twi_parallel
source,fibea,3,02_english-twi-dictionary; 03_science-glossary; 09_Twi-Dictionary_parallel; 13_ela_twi_parallel
Sunday,Kwasida,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
United Nations,Amanaman Nkabom,2,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
accomplish,wie,2,02_english-twi-dictionary; 08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
answer,mmuae,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 13_ela_twi_parallel
assembly,nhyiam,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel
authority,tumi,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
belief,gyidi,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
blood,bogya,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 17_A Dictionary of the Asante and Fante Language_mono
citizen,ɔmanba,2,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
construct,si,2,02_english-twi-dictionary; 07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
country,ɔman,2,11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel; 16_Twi-census-Glossary_parallel
data,nsɛm,2,04_mathematics-glossary; 07_hs_living_environment_twi_parallel; 16_Twi-census-Glossary_parallel
decade,mfe du,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
decision,gyinae,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
economic growth,sikasɛm mu nkɔso,2,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
evidence,adanse,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 13_ela_twi_parallel
eye,ani,2,02_english-twi-dictionary; 07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
father,agya,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 16_Twi-census-Glossary_parallel
fetish,obosom,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
generation,awo ntoatoaso,2,03_science-glossary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
hearth,muka,2,02_english-twi-dictionary; 03_science-glossary; 09_Twi-Dictionary_parallel
help,boa,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 13_ela_twi_parallel
history,abakɔsɛm,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
income,akatua,2,04_mathematics-glossary; 05_elementary_social_studies_twi; 12_hs_global_history_twi_parallel
knowledge,nimdeɛ,2,07_hs_living_environment_twi_parallel; 12_hs_global_history_twi_parallel; 13_ela_twi_parallel
liberty,fahodi,2,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
maize,aburow,2,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
malaria,atiridii,2,02_english-twi-dictionary; 07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
millennium,mfe apem,2,05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
milliliter,mililita,2,04_mathematics-glossary; 06_hs_chemistry_twi; 07_hs_living_environment_twi_parallel
money,sika,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
persecution,ɔtaa,2,09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
prison,afiase,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 16_Twi-census-Glossary_parallel
profit,mfaso,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
prosperity,yiyedi,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel
ready,krado,2,02_english-twi-dictionary; 09_Twi-Dictionary_parallel; 13_ela_twi_parallel
religion,ɔsom,2,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
respect,obu,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
seed,aba,2,02_english-twi-dictionary; 07_hs_living_environment_twi_parallel; 09_Twi-Dictionary_parallel
silver,dwetɛ,2,06_hs_chemistry_twi; 08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
slavery,nkoasom,2,09_Twi-Dictionary_parallel; 11_hs_us_history_twi_parallel; 12_hs_global_history_twi_parallel
society,asafo,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 09_Twi-Dictionary_parallel
spoon,atere,2,02_english-twi-dictionary; 08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
state,tebea,2,02_english-twi-dictionary; 06_hs_chemistry_twi; 08_hs_physics_twi_parallel
technology,abɛɛfo mfiridwuma,2,06_hs_chemistry_twi; 11_hs_us_history_twi_parallel; 13_ela_twi_parallel
year,afe,2,02_english-twi-dictionary; 05_elementary_social_studies_twi; 16_Twi-census-Glossary_parallel
Asen,Asen,1,02_english-twi-dictionary; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
B. C.,A. Y. B.,1,05_elementary_social_studies_twi; 12_hs_global_history_twi_parallel
Boyle’s law,Boyle mmara,1,06_hs_chemistry_twi; 08_hs_physics_twi_parallel
Chinese,Chinani,1,12_hs_global_history_twi_parallel; 16_Twi-census-Glossary_parallel
Christianity,Kristosom,1,09_Twi-Dictionary_parallel; 12_hs_global_history_twi_parallel
Ear,Aso,1,01_medical_glossary; 08_hs_physics_twi_parallel
Europe,Europa,1,05_elementary_social_studies_twi; 11_hs_us_history_twi_parallel
Friday,Fida,1,02_english-twi-dictionary; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Hospital,ayaresabea,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Iron,dade,1,08_hs_physics_twi_parallel; 09_Twi-Dictionary_parallel
Kitchen,gyaade,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Location,beae,1,03_science-glossary; 09_Twi-Dictionary_parallel
Monday,Dwowda,1,09_Twi-Dictionary_parallel; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Newton,Newton,1,03_science-glossary; 08_hs_physics_twi_parallel
Pascal,Pascal,1,06_hs_chemistry_twi; 08_hs_physics_twi_parallel
Tea,tii,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Teacher,ɔkyerɛkyerɛfo,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Thursday,Yaoda,1,02_english-twi-dictionary; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Toilet,tiafi,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Tuesday,Benada,1,09_Twi-Dictionary_parallel; 19_Gold Coast Akan Laws and Customs and the Akim Abuakwa Constitution_mono
Udder,nufu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
Woman,ɔbaa,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Work,adwuma,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
Yes,aane,1,09_Twi-Dictionary_parallel; 14_Twi-Language-Guide_parallel
abandon,gyae,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abash,gu anim ase,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abbreviate,twa so,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abide,te,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ability,tumi,1,02_english-twi-dictionary; 08_hs_physics_twi_parallel
abject,funu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
able,tumi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
ablution,aguare,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abolish,gu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abolition,ogu,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abominate,kyi,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abomination,akyide,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
about,mmeammea,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
absorb,mene,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abundance,mmoroso,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
abuse,sɛe,1,02_english-twi-dictionary; 09_Twi-Dictionary_parallel
