page,eng,twi
22,Sprout,Afefɛ
22,Squint,Nyinya w'anim
22,Stable,Enhinhim
22,Stages,Gyinabrɛ ahodoɔ
22,Stamen,Nhweren fa a ɛyɛ barima
22,Star,Nsroma
22,Starch,Stakye
22,State,Tebea
22,static charge,Kyage a etim faako
22,static electricity,Nyinam a etim faako
22,Stem,Dua mfinfnin
22,stigma,Nhwiren fa baabi a ɛyɛ barima ano
22,stimulus,Nkenyan hyɛ
22,stomach,Yafunu
22,stopwatch,Afidie a yɛde hwɛ berɛ
22,Strain,Ahokyerɛ
22,Strategy,Ntotoɛ
22,Strato,Strato
22,stratus cloud,Mununkum a ɛbɛn fam
22,Streak,Nsensanɛ a ɛkɔ tee
22,structural adaptation,Se wore atumi atena wo nhyehyɛdee mu
22,structure,Nhyehyɛdee
22,sublimation,Adeboɔ dane mframa
22,Subsoil,Anwea a ɛwɔ asaase mu
22,substance,Adeɛ
22,Sugar,Asikyire
23,sulfuric acid,Sulfurik asid
23,summarize,Bɔ ne tɔfa
23,summarize,bɔ no mua
23,Sun,Owia
23,supernova,Supanova (nsoroma a etu)
23,Support,Mmoa
23,Surface,Anii
23,Survey,Mfeefeemu
23,Survival,Sɛ wore tena kwan mu
23,survive,tena kwa mu
23,survive,wore tena nkwa mu
23,survival,tena kwa mu
23,survival,wore tena nkwa mu
23,Swamp,Afrɔ mu
23,Sweat,Mfifire
23,Switch,Sesa mu
23,System,Nhyehyɛɛ
23,Table,Ɛpono
23,table salt,Ɛnkyene a yɛdi
23,Tadpole,Konkontibaa
23,tape measure,Ahoma a yɛde susu adeɛ
23,technology,Abɛɛfo mfidie
23,telescope,Afidie a yɛde hwɛ adeɛ a ɛwɔ akyire yie
23,temperate,Bea awɔ wɔ hɔ
23,temperature,Adeɛ hyeɛ anaa ne nwunu
23,temporary magnet,Stim a ennihɔ afebɔɔ
23,terrestrial planets,Kyinsroma a botan wɔ mu
23,test,Nsɔhwɛ
23,theory,Nimdeɛ mu botrimuka
23,thermal energy,Tumi a efri ɔhyew mu
23,thermometer,Afidie a yɛde susu adehyɛɛ
23,thunderstorm,Apranaa dwidwam
23,tide,Asrɔkye
23,tilt,Akyea
23,tilted,Ɛkyeaɛ
23,time,Berɛ
23,tissue,Abɔdeɛ mu adeɛ
23,tool,Anwenade
23,topsoil,Anwia a ɛwɔ soro (dɔte a ɛwɔ asase ani)
23,tornado,Ohum
23,tornado,ahum
23,trachea,Tokro a mframa famu wɔ nipadua mu
23,trade-offs,Wore sɛe biribi de anya biribi foforɔ
23,trait,Su
23,transfer,Yi kɔ baabi foforɔ
23,transform,Sesa kɔ tebea foforɔ mu
23,transport,Akɔneaba die
23,transport system,Akɔneabadie nhyehyɛɛ
23,transverse,Transfɛs tumi a amunimuni (mmeamu/ntwamu)
23,trench,Amena
24,trial,Nsɔhwɛ
24,tropical,Beaɛ a awɔ nni so
24,tropical,beae a ɔhyew wɔ
24,troposphere,Ewiem nnidisɔɔ a etwa tɔɔ
24,trough,Adididaka
24,tumor,Dwoa a ɛhyɛ nnipa mu
24,turbine,Drobɛn kɛseɛ
24,type,Asɔɔto
24,type,ahorow yɛ
24,unbalanced forces,Ahoɔden a ɛnnyɛ pɛ
24,undergo metamorphosis,Efa nsesaeɛ mu
24,unequal,Ɛnnyɛ pɛ
24,unicellular,Abɔdeɛ a ne sell yɛ baako pɛ
24,unifying themes,Adwenpɔ a edi nhyia
24,unique,Eda nso
24,universe,Ewiase
24,universe,amansan
24,unstable,Ennyina yie
24,vacuole,Ahaban mu akwaa bi
24,valley,Amena a ɛhyɛ bepɔ mu
24,valley,bon
24,vapor,Ntutuo
24,variable,Nea etumi sesa
24,variation,Emu nsesa
24,variety,Ahodoɔ
24,vascular system,Ntinintini nhyehyɛeɛ
24,vascular tissue,Ntinintini a ɛwɔ abɔdeɛ mu
24,vegetable,Atosodeɛ
24,vehicle,Kaa
24,vein,Ntini a ɛde mogya kɔ akoma mu
24,velocity,Mmirika
24,vertebrate,Ɛwɔ akyi dompe
24,vibrate,ɛwosow
24,virus,Mmoawa ɛde yareɛ ba
24,visible,Ani tumi hunu
24,visible light,Kanea a ani tumi hunu
24,vitamin,Nuane nnuro
24,volcanic activity,Egya a efri bepɔ mu dwumadie
24,volcano,Egya a efri bepɔ mu
24,volcano,bepɔ a apae
24,voltmeter,Afidie a esusu nyinam ahoɔden mu tumi
24,volume,Emu kɛseɛ
24,warm,Dedɛededɛ
24,warm,boturobodwo
24,water,Nsuo
24,water cycle,Nsuo ntwaho
24,water cycle,nsu kyinhyiadi
24,water vapor,Ntutuo
24,wavelength,Mframa teneten
25,weather,Ewiem nhyehyɛɛ
25,weathering,Aboɔ mu nwenweɛ
25,wedge,Adeɛ a wɔde fa nneɛma mmienu ntɛm
25,weight,Emu duro
25,wheel and axle,ntwaho ne ahoma afidie
25,white blood cell,Mogya mu adeɛ a ɛko tia nyarewa
25,wind,Mframa
25,wind,ahum
25,wind vane,Afidie a ɛkyerɛ baabi mframa ani hwɛ
25,wise,Nyansa
25,work,Adwuma
25,wrinkle,Atwintwam
25,zone,Bea
25,zygote,Kosua a ahane
